clear.logMAR,mono.logMAR,bino.logMAR,clear.logCS,mono.logCS,bino.logCS,clear.disparity,mono.disparity,bino.disparity,FVel,FAcc,MVel,MAcc,MDec,timeMVel,timeMAcc,timeMDec,pathLength,timeMAccToMVel,timeMVelToMDec,timeMDecToOffset,FGA,MGA,timeMGA,timeMVelToMGA,timeMGAToMDec,timeMGAToOffset,MGAVel,MGAAcc,FGOf,FGOt,FGOs,onset,offset,movTime,FAcc_index,FAcc_knuck,FAcc_thumb,FAcc_wrist,FVel_index,FVel_knuck,FVel_thumb,FVel_wrist,MAcc_index,MAcc_knuck,MAcc_thumb,MAcc_wrist,MDec_index,MDec_knuck,MDec_thumb,MDec_wrist,MVel_index,MVel_knuck,MVel_thumb,MVel_wrist,pathLength_index,pathLength_knuck,pathLength_thumb,pathLength_wrist,timeMAcc_index,timeMAcc_knuck,timeMAcc_thumb,timeMAcc_wrist,timeMAccToMVel_index,timeMAccToMVel_knuck,timeMAccToMVel_thumb,timeMAccToMVel_wrist,timeMDec_index,timeMDec_knuck,timeMDec_thumb,timeMDec_wrist,timeMDecToOffset_index,timeMDecToOffset_knuck,timeMDecToOffset_thumb,timeMDecToOffset_wrist,timeMVel_index,timeMVel_knuck,timeMVel_thumb,timeMVel_wrist,timeMVelToMDec_index,timeMVelToMDec_knuck,timeMVelToMDec_thumb,timeMVelToMDec_wrist,distance,subjName
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0454674676226529,2.20463409379646,1.2139938617365,11.5434477404322,-6.81930194202741,2.75,2.625,2.866667,0.410796524377016,0.125,0.116667,0.941666,0.0902888026441606,0.113993118236222,2.891667,0.141667,-0.0249999999999999,0.916666,0.611703165118766,-6.39468467464402,-0.145897084812891,0.543683392539993,-0.238473991750013,0,3.808333,3.808333,2.50251485167547,2.35108151122103,1.90279618985633,1.29672412603393,0.0493007496206375,0.0391000793454578,0.0424631412195647,0.0243915058713836,12.979213953892,6.58597070396174,10.2351467832024,5.82834052562864,-7.08287442880381,-7.26715521125295,-6.60549347063376,-7.10867673848188,1.28441903819381,1.18975981912019,1.16865297922234,1.2048134296512,0.42515277107692,0.404227195534257,0.41059073558685,0.402780021905282,2.625,2.608333,2.625,2.583333,0.108333,0.175,0.133333,0.191667,2.866667,2.875,2.866667,2.875,0.941666,0.933333,0.941666,0.933333,2.733333,2.783333,2.758333,2.775,0.133334,0.0916670000000002,0.108334,0.1,middle,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0324939521294161,1.55992727009308,0.836021025978604,8.75836756040067,-4.17105579761158,3.041667,2.941667,3.2,0.320519048870985,0.1,0.158333,0.841667,0.09497530609273,0.119730478101745,3.183333,0.141666,0.016667,0.858334,0.578061817916103,-4.01626139435112,-0.143483964328329,0.590163380225465,-0.212448857606844,0,4.041667,4.041667,1.81985752294122,1.87461452176834,1.35615408814114,0.995535054561747,0.0373265600973199,0.0315630446925727,0.0282056339343779,0.0178853940379423,9.50327352153448,4.90696464510689,8.43009640666228,4.00145273263092,-4.50452297141529,-4.91360594770902,-3.94429477579655,-4.71145958385971,0.963844476021739,0.836242895362225,0.732482816342618,0.806204413161103,0.345518878919405,0.317530806741981,0.312866203667047,0.30048713851605,2.95,2.916667,2.941667,2.9,0.0916669999999997,0.191666,0.133333,0.2,3.175,3.208333,3.2,3.208333,0.866667000000001,0.833334,0.841667,0.833334,3.041667,3.108333,3.075,3.1,0.133333,0.1,0.125,0.108333,near,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0270478976172981,2.09788650312239,0.853919959682975,10.6377282679535,-4.91070931592452,2.941667,2.875,3.133333,0.337342266695457,0.0666669999999998,0.191666,0.816667,0.0931548073233106,0.115284467689993,3.108333,0.166666,0.0249999999999999,0.841667,0.643363933433876,-4.19676105762349,-0.173240541069144,0.537991380502968,-0.285270732412397,0,3.95,3.95,2.18324785375029,2.10468387476558,1.57906533827245,1.22844176391108,0.0347102332758611,0.0267444548517499,0.0204094713462883,0.0145516228713973,11.4869791717772,5.26158185775505,9.91843743162589,4.20958255533924,-5.10501778186572,-5.57658838932894,-4.52566813301827,-4.91976815270752,0.990335897415277,0.836612097906506,0.749887584309961,0.791279871657261,0.358226698294007,0.326974159794421,0.329302351809365,0.30719250548646,2.875,2.858333,2.866667,2.833333,0.0750000000000002,0.191667,0.0666660000000001,0.208334,3.125,3.133333,3.141667,3.141667,0.825,0.816667,0.808333,0.808333,2.95,3.05,2.933333,3.041667,0.175,0.0833330000000001,0.208334,0.1,near,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0308016927230106,1.34073126802838,0.901837922593394,9.35234168447515,-4.96566247971671,2.825,2.708333,2.975,0.327202509357,0.116667,0.15,0.825,0.0906862344535151,0.116771114059874,2.933333,0.108333,0.0416669999999999,0.866667,0.663841003229293,-4.21586831680698,-0.0787440921571037,0.547120321729215,-0.128819320237751,0,3.8,3.8,1.36903134239062,1.04174928611525,1.34895900218998,0.578920977943438,0.0366196340424141,0.0324957102942164,0.0255577059914166,0.0209466411014955,10.0054469913903,5.47583819088586,8.88887853724713,4.74626507077175,-5.01281834806594,-5.78094819620264,-5.13811534366949,-5.49145158303318,1.02860093744107,0.895418409622861,0.825609464055897,0.877873870075707,0.356498014837672,0.308845768548304,0.312544173004037,0.294191294702339,2.716667,2.691667,2.708333,2.683333,0.0999999999999996,0.175,0.141667,0.175,2.933333,2.966667,2.991667,2.975,0.866667,0.833333,0.808333,0.825,2.816667,2.866667,2.85,2.858333,0.116666,0.1,0.141667,0.116667,near,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.042564370378732,2.21710473649826,1.19106775266074,9.78437914379006,-6.59322269619679,2.958333,2.808333,3.05,0.425971461196301,0.15,0.0916669999999997,0.816667,0.093959137211136,0.111063088382777,3.108333,0.15,-0.0583330000000002,0.758334,0.50607635782312,-4.18013559408113,-0.166572632528938,0.48136885830587,-0.311400231753401,0,3.866667,3.866667,2.0302655181057,1.76321449117008,2.4311367829632,1.19534358915937,0.0514392392450221,0.0450963915776366,0.0353331864697383,0.0306694031587496,10.4232892588116,6.50636806649597,9.52144646325223,5.8014799790532,-6.63056355882318,-6.6793603137123,-6.60181568668244,-6.65203124338468,1.22764257288955,1.14975682298462,1.17310460553711,1.17242242235757,0.43732912099686,0.415383635457461,0.426347799372416,0.410304841638743,2.808333,2.808333,2.8,2.9,0.141667,0.166667,0.166667,0.0750000000000002,3.05,3.058333,3.05,3.058333,0.816667,0.808334,0.816667,0.808334,2.95,2.975,2.966667,2.975,0.0999999999999996,0.0833330000000001,0.0833329999999997,0.0833330000000001,middle,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0545299101107982,3.07523779647186,1.44779340745191,11.7799529213636,-6.58683985498662,3.066667,2.916667,3.166667,0.544090717824963,0.15,0.1,0.966666,0.0940028059966956,0.121485113434713,3.258333,0.191666,-0.091666,0.875,0.530566263766398,-4.11024594658823,-0.0892223194345687,0.506919214123436,-0.159723452785811,0,4.133333,4.133333,2.851677279552,2.66382875438449,3.17788187057295,2.08601557123374,0.0624161749987714,0.0525079272456105,0.0482194554640515,0.0375517110386331,12.445803962246,8.08091173617008,11.0058501564428,7.34582561868963,-7.16920855656926,-6.96355536418503,-6.14391368782894,-6.49038161473706,1.51847576616394,1.45836328329106,1.38879375085613,1.45962145327883,0.555675418375429,0.534109066856254,0.548984631876321,0.531305226239181,2.916667,2.9,2.908333,3.0,0.15,0.183333,0.166667,0.0833330000000001,3.166667,3.166667,3.183333,3.175,0.966666,0.966666,0.95,0.958333000000001,3.066667,3.083333,3.075,3.083333,0.1,0.0833339999999998,0.108333,0.0916669999999997,far,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0364276672850993,2.58393259892058,1.18697350309064,10.5848626835251,-6.45258332046637,2.791667,2.641667,2.908333,0.431819062204967,0.15,0.116666,0.808334,0.0925664834988788,0.11502560141689,2.925,0.133333,-0.016667,0.791667,0.624159467141701,-6.1730875686836,-0.105356750532146,0.466086631014515,-0.207196444482346,0,3.716667,3.716667,2.3534607695198,1.67634345900663,2.59840840321859,1.00733633405642,0.0448678548110934,0.0407883258053775,0.0286819547865281,0.0296607104025067,11.33798412162,7.16477060758266,10.1282597735586,6.24968908622482,-6.81161805453995,-7.10590003720889,-6.10183259987828,-6.77387245710978,1.26846502380099,1.19257998088044,1.12759883203188,1.19590078046381,0.447833805922473,0.412030120403451,0.428567518597342,0.406269721958579,2.65,2.633333,2.633333,2.725,0.133333,0.175,0.166667,0.0833330000000001,2.908333,2.916667,2.908333,2.908333,0.808334,0.8,0.808334,0.808334,2.783333,2.808333,2.8,2.808333,0.125,0.108334,0.108333,0.0999999999999996,middle,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0574836051216418,2.22075744496012,1.5801037558449,11.2319661670158,-7.96070666743103,2.608333,2.458333,2.716667,0.54713887460819,0.15,0.108334,0.991666,0.0917477421239753,0.120532793241749,2.775,0.166667,-0.0583329999999997,0.933333,0.635293488960107,-5.99555127075924,-0.102365505057696,0.488690892236285,-0.190846132011524,0,3.708333,3.708333,2.37431106634355,2.32618266680021,2.05711844238302,1.72978601009649,0.0622508912321353,0.0517616282753956,0.0538012967375941,0.0377675154367354,10.7658562939861,8.19524940715812,11.4324769575188,8.18814192329158,-8.30606198010769,-7.67309564606268,-7.83705051521574,-7.85271271043294,1.65052181610683,1.48979252952933,1.53382924695284,1.53639155810279,0.547722464301287,0.521162216846214,0.562414268385863,0.52387242881366,2.458333,2.45,2.45,2.541667,0.15,0.175,0.166667,0.0833330000000001,2.708333,2.725,2.716667,2.733333,1.0,0.983333,0.991666,0.975,2.608333,2.625,2.616667,2.625,0.1,0.1,0.1,0.108333,far,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0350897388095972,1.67671018176853,0.992945534785182,10.1257097318268,-4.4252053939581,2.791667,2.7,2.916667,0.334653473685298,0.0916669999999997,0.125,0.908333,0.0946227743940594,0.114762598846871,2.916667,0.125,0.0,0.908333,0.562473065641037,-4.4252053939581,-0.15762334285731,0.602552597771561,-0.227071880709635,0,3.825,3.825,1.91668930626423,1.43162436085673,1.44328672032678,0.553113432195736,0.040887583823281,0.0314694353988877,0.030320299276133,0.0161618954039843,11.3858310761195,5.93869823971697,8.9165707118463,4.87034480783625,-4.94244300111506,-5.61276217600522,-3.8934044711752,-5.18695569047679,1.09163973361755,0.874763779946817,0.920183582264795,0.894724179053485,0.362183378698918,0.314250285285764,0.324607728917271,0.298316583686781,2.7,2.683333,2.691667,2.758333,0.0833329999999997,0.15,0.108333,0.0666670000000003,2.916667,2.925,2.908333,2.916667,0.908333,0.9,0.916667,0.908333,2.783333,2.833333,2.8,2.825,0.133334,0.0916669999999997,0.108333,0.0916669999999997,near,1
-0.02,-0.04,0.0,1.84,1.76,1.8,60,60,60,0.0448853148901379,2.56628060660707,1.13327631599713,8.68930002056978,-5.38066867280664,2.775,2.616667,2.883333,0.426438173969784,0.158333,0.108333,0.966667,0.0914329110115131,0.113426176913935,2.925,0.15,-0.0416669999999999,0.925,0.530759806405303,-4.73154898999739,-0.105193342636035,0.531951614165819,-0.177509587280536,0,3.85,3.85,2.39586236097876,1.68143813428755,2.6856133224437,0.919943744140404,0.0509044373030607,0.0488235406273236,0.0392376342402521,0.0366549319598231,9.10456602791325,5.7493455620101,8.57629714398349,5.68759026705267,-5.85233798995072,-5.84273211258488,-5.04142128722931,-5.44181711398726,1.17788109451161,1.10825590607534,1.10306956972877,1.12172467947239,0.434024336743771,0.407910585900484,0.431837659754678,0.402979310513922,2.625,2.608333,2.608333,2.691667,0.141667,0.183334,0.166667,0.091666,2.883333,2.891667,2.883333,2.891667,0.966667,0.958333,0.966667,0.958333,2.766667,2.791667,2.775,2.783333,0.116666,0.1,0.108333,0.108334,middle,1
